Are you happy?	Ты счастлива? 
I don't care as long as you are happy.	До тех пор пока вы довольны, мне всё равно. 
We are happy to have you join our team.	Мы счастливы, что Вы присоединились к нашей команде. 
Why are you so happy?	Ты почему такой счастливый? 
I am happy to have so many good friends.	Я счастлив иметь так много хороших друзей. 
I wish you a Happy New Year.	С Новым годом! 
All were happy.	Все были счастливы. 
All happy families resemble each other, each unhappy family is unhappy in its own way.	Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему. 
Can you guess how happy I am?	Можешь представить, как я счастлив? 
Never have I been so happy.	Я никогда не был так счастлив. 
This album reminds me of my happy school days.	Этот альбом напоминает мне о счастливых школьных днях. 
Happy birthday to you!	С днём рождения! 
I am happy to hear your voice.	Я рад слышать твой голос. 
I'll make you happy.	Я сделаю тебя счастливой. 
I'm very happy now.	Сейчас я очень счастлив. 
I'm very happy.	Я очень счастлив. 
I was happy yesterday.	Вчера я был счастлив. 
I want to make her happy.	Я хочу сделать её счастливой. 
If it were not for exams, we would be happy.	Если бы не экзамены, мы были бы счастливы. 
If you need more information, we are happy to send it.	Если вам нужно больше информации, мы будем рады её вам переслать. 
Everybody wants to live a happy life.	Все хотят жить счастливой жизнью. 
He said that he was very happy.	Он сказал, что очень счастлив. 
He made her happy.	Он сделал её счастливой. 
Poor as he is, he is happy.	Он небогат, но счастлив. 
They are happy.	Они счастливы. 
She looks happy on hearing the news.	Услышав эту новость, она выглядит счастливой. 
She looks very happy.	Она выглядит очень счастливой. 
She looks happy.	Она выглядит счастливой. 
I don't think she is happy.	Не думаю, что она счастлива. 
She said that she had been happy.	Она сказала, что была счастлива. 
She is poor, but she looks happy.	Она бедна, но выглядит счастливой. 
Despite all his fame, he is not happy.	Несмотря на всю его славу, его нельзя назвать счастливым. 
Happy birthday, Muiriel!	С днём рождения, Мюриэл! 
Happy New Year!	С новым годом! 
I'm happy, cause I'm learning some Dutch.	Я рад, потому что я немножко учу голландский. 
If you smile, I'll be happy.	Если ты улыбнёшься, я буду счастлив. 
I'm not happy with this situation.	Я этой ситуацией не доволен. 
I'm very happy to see you.	Очень счастлив тебя видеть. 
We are happy.	Мы счастливы. 
I'm sure that he's happy.	Я уверена, что он счастлив. 
Happy birthday!	С днём рождения! 
She is poor, but happy.	Она бедная, но счастливая. 
He is poor, but happy.	Он беден, но счастлив. 
Oranges mean happy love while lemons are for the unanswered one.	Апельсины означают счастливую любовь, тогда как лимоны — безответную. 
She is poor, but she is happy.	Она бедна, но счастлива. 
I am a completely happy human being!	Я вполне счастливый человек! 
After his accident, he is happy to be alive.	После несчастного случая он рад остаться в живых. 
Although he is rich, he is not happy.	Он хоть и богат, но не счастлив. 
Oleg is happy that someone loves him.	Олег счастлив, что его кто-то любит. 
I feel happy when I'm with you.	Я чувствую себя счастливым, когда я с тобой. 
She asked him if he was happy.	Она спросила, счастлив ли он. 
She wouldn't be happy with him.	Она не была бы счастлива с ним. 
Nay, since you will not love, would I were growing A happy daisy, in the garden path That so your silver foot might press me going, Might press me going even unto death.	Счастливой маргариткой у дорожки Взрасту и лягу на земную твердь, И под её серебряною ножкой Покорно обрету желанную мной смерть. 
Are you happy now?	Теперь ты доволен? 
At the start of every weekend, I am both tired and happy.	В начале каждого уикенда я чувствую себя усталым и счастливым одновременно. 
I'm happy because beginning today, we have no school until September.	Я счастлив,потому что с сегодняшнего дня у нас в школе не будет занятий до сентября. 
I'm happy because starting today, we don't have any school until September.	Я счастлив,потому что с сегодняшнего дня у нас в школе не будет занятий до сентября. 
He tried to make his wife happy, but couldn't.	Он старался сделать жену счастливой, но не мог. 
I'm happy to see you here.	Я рад видеть вас здесь. 
She seems happy.	Она выглядит счастливой. 
When I'm with you, I'm happy.	Когда я с тобой, я счастлив. 
The rich are not always happy.	Богатые не всегда счастливы. 
This girl is smiling contantly, but she isn't happy.	Эта девочка постоянно улыбается, однако она не счастлива. 
Though he is wealthy he is not happy.	Хотя он богат, он не счастлив. 
She always looked happy.	Она всегда выглядела счастливой. 
Happy to see you.	Рад тебя видеть. 
A woman wrote 30 books about how to become happy, and then committed suicide.	Одна женщина написала 30 книг о том, как стать счастливой, а потом покончила с собой. 
